landuse;unit;geo\time;2016 ;2013 
L0008;KM2;CH025;839 ;839 
L0008;KM2;CH03;1934 ;1934 
L0008;KM2;CH031;36 ;36 
L0008;KM2;CH032;516 ;516 
L0008;KM2;CH033;1382 ;1382 
L0008;KM2;CH04;1654 ;1654 
L0008;KM2;CH040;1654 ;1654 
L0008;KM2;CH05;11278 ;11278 
L0008;KM2;CH051;676 ;676 
L0008;KM2;CH052;296 ;296 
L0008;KM2;CH053;243 ;243 
L0008;KM2;CH054;172 ;172 
L0008;KM2;CH055;1947 ;1947 
L0008;KM2;CH056;7084 ;7084 
L0008;KM2;CH057;860 ;860 
L0008;KM2;CH06;4253 ;4253 
L0008;KM2;CH061;1428 ;1428 
L0008;KM2;CH062;1055 ;1055 
L0008;KM2;CH063;843 ;843 
L0008;KM2;CH064;478 ;478 
L0008;KM2;CH065;241 ;241 
L0008;KM2;CH066;208 ;208 
L0008;KM2;CH07;2733 ;2733 
L0008;KM2;CH070;2733 ;2733 
L0008;KM2;CY;9213 ;9213 
L0008;KM2;CY0;9213 ;9213 
L0008;KM2;CY00;9213 ;9213 
L0008;KM2;CY000;9213 ;9213 
L0008;KM2;CZ;77212 ;77212 
L0008;KM2;CZ0;77212 ;77212 
L0008;KM2;CZ01;485 ;485 
L0008;KM2;CZ010;485 ;485 
L0008;KM2;CZ02;10719 ;10719 
L0008;KM2;CZ020;10719 ;10719 
L0008;KM2;CZ03;17141 ;17140 
L0008;KM2;CZ031;9614 ;9614 
L0008;KM2;CZ032;7527 ;7527 
L0008;KM2;CZ04;8474 ;8474 
L0008;KM2;CZ041;3240 ;3240 
L0008;KM2;CZ042;5234 ;5234 
L0008;KM2;CZ05;12252 ;12252 
L0008;KM2;CZ051;3115 ;3115 
L0008;KM2;CZ052;4683 ;4683 
L0008;KM2;CZ053;4454 ;4454 
L0008;KM2;CZ06;13706 ;13705 
L0008;KM2;CZ063;6674 ;6674 
L0008;KM2;CZ064;7032 ;7032 
L0008;KM2;CZ07;9121 ;9122 
L0008;KM2;CZ071;5212 ;5212 
L0008;KM2;CZ072;3909 ;3909 
L0008;KM2;CZ08;5314 ;5314 
L0008;KM2;CZ080;5314 ;5314 
L0008;KM2;DE;353296 ;353292
L0008;KM2;DE1;35354 ;35357
L0008;KM2;DE11;10549 ;10549
L0008;KM2;DE111;206 ;206
L0008;KM2;DE112;618 ;618
L0008;KM2;DE113;641 ;641
L0008;KM2;DE114;642 ;642
L0008;KM2;DE115;685 ;685
L0008;KM2;DE116;858 ;858
L0008;KM2;DE117;100 ;100
L0008;KM2;DE118;1098 ;1098
L0008;KM2;DE119;777 ;777
L0008;KM2;DE11A;1484 ;1484
L0008;KM2;DE11B;1303 ;1303
L0008;KM2;DE11C;627 ;627
L0008;KM2;DE11D;1510 ;1510
L0008;KM2;DE12;6860 ;6861
L0008;KM2;DE121;139 ;139
L0008;KM2;DE122;169 ;169
L0008;KM2;DE123;1067 ;1067
L0008;KM2;DE124;723 ;723
L0008;KM2;DE125;107 ;107
L0008;KM2;DE126;140 ;140
L0008;KM2;DE127;1123 ;1123
L0008;KM2;DE128;1054 ;1054
L0008;KM2;DE129;98 ;98
L0008;KM2;DE12A;797 ;797
L0008;KM2;DE12B;574 ;574
L0008;KM2;DE12C;869 ;869
L0008;KM2;DE13;9262 ;9263
L0008;KM2;DE131;153 ;153
L0008;KM2;DE132;1366 ;1366
L0008;KM2;DE133;677 ;677
L0008;KM2;DE134;1843 ;1843
L0008;KM2;DE135;769 ;769
L0008;KM2;DE136;1024 ;1024
L0008;KM2;DE137;734 ;734
L0008;KM2;DE138;770 ;770
L0008;KM2;DE139;802 ;802
L0008;KM2;DE13A;1124 ;1124
L0008;KM2;DE14;8683 ;8683
L0008;KM2;DE141;1092 ;1092
L0008;KM2;DE142;518 ;518
L0008;KM2;DE143;918 ;918
L0008;KM2;DE144;119 ;119
L0008;KM2;DE145;1356 ;1356
L0008;KM2;DE146;1406 ;1406
L0008;KM2;DE147;446 ;446
L0008;KM2;DE148;1628 ;1628
L0008;KM2;DE149;1200 ;1200
L0008;KM2;DE2;69900 ;69899
L0008;KM2;DE21;17187 ;17186
L0008;KM2;DE211;130 ;130
L0008;KM2;DE212;310 ;310
L0008;KM2;DE213;37 ;37
L0008;KM2;DE214;563 ;563
L0008;KM2;DE215;832 ;832
L0008;KM2;DE216;1085 ;1085
L0008;KM2;DE217;578 ;578
L0008;KM2;DE218;547 ;547
L0008;KM2;DE219;1211 ;1211
L0008;KM2;DE21A;870 ;870
L0008;KM2;DE21B;797 ;797
L0008;KM2;DE21C;435 ;435
L0008;KM2;DE21D;1000 ;1000
L0008;KM2;DE21E;749 ;749
L0008;KM2;DE21F;854 ;854
L0008;KM2;DE21G;801 ;801
L0008;KM2;DE21H;658 ;658
L0008;KM2;DE21I;732 ;732
L0008;KM2;DE21J;754 ;754
L0008;KM2;DE21K;1416 ;1416
L0008;KM2;DE21L;425 ;425
L0008;KM2;DE21M;1447 ;1447
L0008;KM2;DE21N;956 ;956
L0008;KM2;DE22;10256 ;10256
L0008;KM2;DE221;66 ;66
L0008;KM2;DE222;65 ;65
L0008;KM2;DE223;65 ;65
L0008;KM2;DE224;850 ;850
L0008;KM2;DE225;984 ;984
L0008;KM2;DE226;1059 ;1059
L0008;KM2;DE227;1343 ;1343
L0008;KM2;DE228;1516 ;1516
L0008;KM2;DE229;973 ;973
L0008;KM2;DE22A;1275 ;1275
L0008;KM2;DE22B;1188 ;1188
L0008;KM2;DE22C;872 ;872
L0008;KM2;DE23;9645 ;9644
L0008;KM2;DE231;50 ;50
L0008;KM2;DE232;79 ;79
L0008;KM2;DE233;71 ;71
L0008;KM2;DE234;1255 ;1255
L0008;KM2;DE235;1517 ;1517
L0008;KM2;DE236;1344 ;1344
L0008;KM2;DE237;1422 ;1422
L0008;KM2;DE238;1380 ;1380
L0008;KM2;DE239;1447 ;1447
L0008;KM2;DE23A;1080 ;1080
L0008;KM2;DE24;7217 ;7216
L0008;KM2;DE241;55 ;55
L0008;KM2;DE242;67 ;67
L0008;KM2;DE243;48 ;48
L0008;KM2;DE244;57 ;57
L0008;KM2;DE245;1161 ;1161
L0008;KM2;DE246;1274 ;1274
L0008;KM2;DE247;590 ;590
L0008;KM2;DE248;642 ;642
L0008;KM2;DE249;891 ;891
L0008;KM2;DE24A;651 ;651
L0008;KM2;DE24B;658 ;658
L0008;KM2;DE24C;517 ;517
L0008;KM2;DE24D;606 ;606
L0008;KM2;DE25;7214 ;7216
L0008;KM2;DE251;100 ;100
L0008;KM2;DE252;76 ;76
L0008;KM2;DE253;63 ;63
L0008;KM2;DE254;185 ;185
L0008;KM2;DE255;41 ;41
L0008;KM2;DE256;1971 ;1971
L0008;KM2;DE257;558 ;558
L0008;KM2;DE258;307 ;307
L0008;KM2;DE259;799 ;799
L0008;KM2;DE25A;1267 ;1267
L0008;KM2;DE25B;891 ;891
L0008;KM2;DE25C;956 ;956
L0008;KM2;DE26;8495 ;8496
L0008;KM2;DE261;61 ;61
L0008;KM2;DE262;35 ;35
L0008;KM2;DE263;87 ;87
L0008;KM2;DE264;695 ;695
L0008;KM2;DE265;1137 ;1137
L0008;KM2;DE266;1022 ;1022
L0008;KM2;DE267;951 ;951
L0008;KM2;DE268;681 ;681
L0008;KM2;DE269;708 ;708
L0008;KM2;DE26A;1313 ;1313
L0008;KM2;DE26B;838 ;838
L0008;KM2;DE26C;967 ;967
L0008;KM2;DE27;9886 ;9885
L0008;KM2;DE271;147 ;147
L0008;KM2;DE272;40 ;40
L0008;KM2;DE273;63 ;63
L0008;KM2;DE274;70 ;70
L0008;KM2;DE275;778 ;778
L0008;KM2;DE276;1070 ;1070
L0008;KM2;DE277;780 ;780
L0008;KM2;DE278;757 ;757
L0008;KM2;DE279;512 ;512
L0008;KM2;DE27A;284 ;284
L0008;KM2;DE27B;1371 ;1371
L0008;KM2;DE27C;1227 ;1227
L0008;KM2;DE27D;1268 ;1268
L0008;KM2;DE27E;1519 ;1519
L0008;KM2;DE3;846 ;846
L0008;KM2;DE30;846 ;846
L0008;KM2;DE300;846 ;846
L0008;KM2;DE4;29022 ;29020
L0008;KM2;DE40;29022 ;29020
L0008;KM2;DE401;196 ;196
L0008;KM2;DE402;165 ;165
L0008;KM2;DE403;144 ;144
L0008;KM2;DE404;171 ;171
L0008;KM2;DE405;1434 ;1434
L0008;KM2;DE406;2208 ;2208
L0008;KM2;DE407;1883 ;1883
L0008;KM2;DE408;1706 ;1706
L0008;KM2;DE409;2128 ;2128
L0008;KM2;DE40A;1772 ;1772
L0008;KM2;DE40B;1165 ;1165
L0008;KM2;DE40C;2204 ;2204
L0008;KM2;DE40D;2474 ;2474
L0008;KM2;DE40E;2548 ;2548
L0008;KM2;DE40F;2122 ;2122
L0008;KM2;DE40G;1630 ;1630
L0008;KM2;DE40H;2089 ;2089
L0008;KM2;DE40I;2983 ;2983
L0008;KM2;DE5;391 ;391
L0008;KM2;DE50;391 ;391
L0008;KM2;DE501;310 ;310
L0008;KM2;DE502;81 ;81
L0008;KM2;DE6;710 ;710
L0008;KM2;DE60;710 ;710
L0008;KM2;DE600;710 ;710
L0008;KM2;DE7;21038 ;21037
L0008;KM2;DE71;7395 ;7394
L0008;KM2;DE711;122 ;122
L0008;KM2;DE712;245 ;245
L0008;KM2;DE713;44 ;44
L0008;KM2;DE714;199 ;199
L0008;KM2;DE715;711 ;711
L0008;KM2;DE716;658 ;658
L0008;KM2;DE717;442 ;442
L0008;KM2;DE718;482 ;482
L0008;KM2;DE719;1394 ;1394
L0008;KM2;DE71A;221 ;221
L0008;KM2;DE71B;624 ;624
L0008;KM2;DE71C;353 ;353
L0008;KM2;DE71D;800 ;800
L0008;KM2;DE71E;1100 ;1100
L0008;KM2;DE72;5376 ;5376
L0008;KM2;DE721;853 ;853
L0008;KM2;DE722;1065 ;1065
L0008;KM2;DE723;738 ;738
L0008;KM2;DE724;1262 ;1262
L0008;KM2;DE725;1458 ;1458
L0008;KM2;DE73;8267 ;8267
L0008;KM2;DE731;106 ;106
L0008;KM2;DE732;1380 ;1380
L0008;KM2;DE733;1097 ;1097
L0008;KM2;DE734;1293 ;1293
L0008;KM2;DE735;1535 ;1535
L0008;KM2;DE736;1834 ;1834
L0008;KM2;DE737;1022 ;1022
L0008;KM2;DE8;22575 ;22575
L0008;KM2;DE80;22575 ;22575
L0008;KM2;DE803;180 ;180
L0008;KM2;DE804;95 ;95
L0008;KM2;DE80J;5119 ;5119
L0008;KM2;DE80K;3376 ;3376
L0008;KM2;DE80L;3180 ;3180
L0008;KM2;DE80M;2063 ;2063
L0008;KM2;DE80N;3900 ;3900
L0008;KM2;DE80O;4662 ;4662
L0008;KM2;DE9;47363 ;47363
L0008;KM2;DE91;8087 ;8086
L0008;KM2;DE911;192 ;192
L0008;KM2;DE912;221 ;221
L0008;KM2;DE913;204 ;204
L0008;KM2;DE914;1566 ;1566
L0008;KM2;DE915;:;1116
L0008;KM2;DE916;959 ;959
L0008;KM2;DE917;674 ;674
L0008;KM2;DE918;1266 ;1266
L0008;KM2;DE919;:;634
L0008;KM2;DE91A;532 ;532
L0008;KM2;DE91B;723 ;723
L0008;KM2;DE91C;1750 ;:
L0008;KM2;DE92;8991 ;8990
L0008;KM2;DE922;1975 ;1975
L0008;KM2;DE923;795 ;795
L0008;KM2;DE925;1204 ;1204
L0008;KM2;DE926;693 ;693
L0008;KM2;DE927;1389 ;1389
L0008;KM2;DE928;673 ;673
L0008;KM2;DE929;2262 ;2262
L0008;KM2;DE93;15387 ;15388
L0008;KM2;DE931;1547 ;1547
L0008;KM2;DE932;2038 ;2038
L0008;KM2;DE933;1239 ;1239
L0008;KM2;DE934;1216 ;1216
L0008;KM2;DE935;1314 ;1314
L0008;KM2;DE936;646 ;646
L0008;KM2;DE937;2071 ;2071
L0008;KM2;DE938;1881 ;1881
L0008;KM2;DE939;1188 ;1188
L0008;KM2;DE93A;1463 ;1463
L0008;KM2;DE93B;784 ;784
L0008;KM2;DE94;14898 ;14899
L0008;KM2;DE941;62 ;62
L0008;KM2;DE942;109 ;109
L0008;KM2;DE943;102 ;102
L0008;KM2;DE944;120 ;120
L0008;KM2;DE945;104 ;104
L0008;KM2;DE946;724 ;724
L0008;KM2;DE947;1279 ;1279
L0008;KM2;DE948;1415 ;1415
L0008;KM2;DE949;2873 ;2873
L0008;KM2;DE94A;606 ;606
L0008;KM2;DE94B;981 ;981
L0008;KM2;DE94C;1067 ;1067
L0008;KM2;DE94D;1063 ;1063
L0008;KM2;DE94E;2118 ;2118
L0008;KM2;DE94F;814 ;814
L0008;KM2;DE94G;806 ;806
L0008;KM2;DE94H;655 ;655
L0008;KM2;DEA;33840 ;33841
L0008;KM2;DEA1;5170 ;5171
L0008;KM2;DEA11;206 ;206
L0008;KM2;DEA12;214 ;214
L0008;KM2;DEA13;207 ;207
L0008;KM2;DEA14;135 ;135
L0008;KM2;DEA15;170 ;170
L0008;KM2;DEA16;91 ;91
L0008;KM2;DEA17;77 ;77
L0008;KM2;DEA18;74 ;74
L0008;KM2;DEA19;90 ;90
L0008;KM2;DEA1A;168 ;168
L0008;KM2;DEA1B;1205 ;1205
L0008;KM2;DEA1C;403 ;403
L0008;KM2;DEA1D;566 ;566
L0008;KM2;DEA1E;559 ;559
L0008;KM2;DEA1F;1005 ;1005
L0008;KM2;DEA2;7293 ;7292
L0008;KM2;DEA22;136 ;136
L0008;KM2;DEA23;388 ;388
