ANO;GEO_COD;GEO_COD_DSG;NIVEL;NIVEL_DSG;N_ALOJAMENTOS;N_ALOJAMENTOS_FAMILIARES;N_ALOJAMENTOS_FAM_CLASSICOS;N_ALOJAMENTOS_FAM_N_CLASSICOS;N_ALOJAMENTOS_COLECTIVOS;N_CLASSICOS_RES_HABITUAL;N_ALOJAMENTOS_RES_HABITUAL;N_ALOJAMENTOS_VAGOS
2011;'110601016; ;7;Secção;307;307;307;0;0;236;236;22
2011;'110601017; ;7;Secção;320;320;320;0;0;200;200;106
2011;'110601018; ;7;Secção;278;278;278;0;0;209;209;27
2011;'110601019; ;7;Secção;326;326;326;0;0;265;265;22
2011;'110601020; ;7;Secção;342;342;342;0;0;263;263;24
2011;'110601021; ;7;Secção;310;310;310;0;0;231;231;31
2011;'110601022; ;7;Secção;324;324;324;0;0;234;234;45
2011;'110601023; ;7;Secção;310;309;309;0;1;245;245;40
2011;'110601024; ;7;Secção;291;291;291;0;0;189;189;63
2011;'110601025; ;7;Secção;305;305;305;0;0;241;241;29
2011;'110601026; ;7;Secção;306;306;306;0;0;200;200;54
2011;'110601027; ;7;Secção;282;281;281;0;1;218;218;15
2011;'110601028; ;7;Secção;330;330;330;0;0;241;241;21
2011;'110601029; ;7;Secção;277;276;276;0;1;212;212;33
2011;'110601030; ;7;Secção;372;372;371;1;0;271;272;40
2011;'110602001; ;7;Secção;300;300;298;2;0;236;238;47
2011;'110602002; ;7;Secção;363;363;363;0;0;241;241;72
2011;'110602003; ;7;Secção;347;347;346;1;0;238;239;94
2011;'110602004; ;7;Secção;285;285;284;1;0;227;228;17
2011;'110602005; ;7;Secção;390;390;380;10;0;289;299;56
2011;'110602006; ;7;Secção;247;247;247;0;0;193;193;27
2011;'110602007; ;7;Secção;330;327;327;0;3;242;242;51
2011;'110602008; ;7;Secção;303;302;302;0;1;231;231;35
2011;'110602009; ;7;Secção;327;327;327;0;0;246;246;60
2011;'110602010; ;7;Secção;267;267;267;0;0;208;208;24
2011;'110602011; ;7;Secção;282;282;282;0;0;216;216;22
2011;'110602012; ;7;Secção;375;372;372;0;3;276;276;70
2011;'110602013; ;7;Secção;322;316;316;0;6;229;229;70
2011;'110602014; ;7;Secção;343;343;343;0;0;226;226;88
2011;'110602015; ;7;Secção;431;431;431;0;0;344;344;57
2011;'110602016; ;7;Secção;339;338;338;0;1;254;254;51
2011;'110602017; ;7;Secção;288;288;288;0;0;217;217;43
2011;'110602018; ;7;Secção;311;311;311;0;0;222;222;40
2011;'110602019; ;7;Secção;333;333;333;0;0;240;240;63
2011;'110602020; ;7;Secção;341;336;336;0;5;231;231;67
2011;'110602021; ;7;Secção;416;416;416;0;0;283;283;86
2011;'110602022; ;7;Secção;306;306;306;0;0;214;214;52
2011;'110602023; ;7;Secção;436;436;436;0;0;325;325;49
2011;'110602024; ;7;Secção;343;343;343;0;0;249;249;51
2011;'110602025; ;7;Secção;338;337;337;0;1;259;259;53
2011;'110602026; ;7;Secção;286;286;286;0;0;204;204;37
2011;'110602027; ;7;Secção;271;271;271;0;0;172;172;48
2011;'110603001; ;7;Secção;75;75;74;1;0;61;62;7
2011;'110603002; ;7;Secção;477;472;472;0;5;312;312;105
